Month,Day,Hour,Minute,CheckResult
1,1,0,0,11736198740
1,1,0,1,19853132360
1,1,0,2,16099727430
1,1,0,3,11257307010
1,1,0,4,18150139070
1,1,0,5,12477152700
1,1,0,6,13355340200
1,1,0,7,14528365630
1,1,0,8,12973662190
1,1,0,9,11806273440
1,1,0,10,14626629490
1,1,0,11,18674335260
1,1,0,12,11336494520
1,1,0,13,15283584050
1,1,0,14,11819152340
1,1,0,15,10207875090
1,1,0,16,17820869540
1,1,0,17,14310074940
1,1,0,18,10093799400
1,1,0,19,12395547120
1,1,0,20,10457585910
1,1,0,21,15735439570
1,1,0,22,11224029850
1,1,0,23,16544026380
1,1,0,24,14361284810
1,1,0,25,16591272850
1,1,0,26,15126371330
1,1,0,27,10861614750
1,1,0,28,17126648980
1,1,0,29,14301230070
1,1,0,30,12717129820
1,1,0,31,15122471870
1,1,0,32,10165009410
1,1,0,33,17858458110
1,1,0,34,15554854130
1,1,0,35,14278870900
1,1,0,36,16211855310
1,1,0,37,17047977810
1,1,0,38,12131603170
1,1,0,39,17611437570
1,1,0,40,16854058570
1,1,0,41,13744738930
1,1,0,42,11765244220
1,1,0,43,17830632730
1,1,0,44,14281150460
1,1,0,45,17378629770
1,1,0,46,16126848760
1,1,0,47,13345342670
1,1,0,48,15720089340
1,1,0,49,19668895390
1,1,0,50,18984100470
1,1,0,51,14604125740
1,1,0,52,12463326280
1,1,0,53,14040491120
1,1,0,54,12108619730
1,1,0,55,13207317850
1,1,0,56,14397902520
1,1,0,57,15832555960
1,1,0,58,17766077060
1,1,0,59,15153406620
1,1,1,0,15339724020
1,1,1,1,10618641212025
1,1,1,2,12724829354050
1,1,1,3,13639084666075
1,1,1,4,13212190428100
1,1,1,5,183444368810125
1,1,1,6,133400674712150
1,1,1,7,115659661714175
1,1,1,8,153143345516200
1,1,1,9,127993402118225
1,1,1,10,179507290320250
1,1,1,11,138879853922275
1,1,1,12,147897937424300
1,1,1,13,158632072526325
1,1,1,14,152916175928350
1,1,1,15,199678641730375
1,1,1,16,109467783032400
1,1,1,17,195521462134425
1,1,1,18,104692608636450
1,1,1,19,110415062338475
1,1,1,20,184602511140500
1,1,1,21,123508723542525
1,1,1,22,172231725444550
1,1,1,23,114120314846575
1,1,1,24,180200060548600
1,1,1,25,186378166050625
1,1,1,26,129742398952650
1,1,1,27,140770153654675
1,1,1,28,156761427856700
1,1,1,29,128004179758725
1,1,1,30,188214897960750
1,1,1,31,169527656862775
1,1,1,32,157933769364800
1,1,1,33,179755850566825
1,1,1,34,126163219268850
1,1,1,35,151272773070875
1,1,1,36,160872512672900
1,1,1,37,112352932474925
1,1,1,38,152458053876950
1,1,1,39,192299769178975
1,1,1,40,151532094281000
1,1,1,41,169946838283025
1,1,1,42,121786831485050
1,1,1,43,183508837287075
1,1,1,44,158421592489100
1,1,1,45,157384543491125
1,1,1,46,123074915293150
1,1,1,47,133097080595175
1,1,1,48,184029270597200
1,1,1,49,197765687999225
1,1,1,50,1737324235101250
1,1,1,51,1244045868103275
1,1,1,52,1135841783105300
1,1,1,53,1807504410107325
1,1,1,54,1059044547109350
1,1,1,55,1874202033111375
1,1,1,56,1355111572113400
1,1,1,57,1557265395115425
1,1,1,58,1809959539117450
1,1,1,59,1553863435119475
1,1,2,0,13167859040
1,1,2,1,12410383004050
1,1,2,2,13973310668100
1,1,2,3,156715286012150
1,1,2,4,124459145516200
1,1,2,5,167779096120250
1,1,2,6,155562079824300
1,1,2,7,138761120928350
1,1,2,8,168834101032400
1,1,2,9,123460098236450
1,1,2,10,132329825340500
1,1,2,11,187733396544550
1,1,2,12,184888464348600
1,1,2,13,125829203152650
1,1,2,14,170273881056700
1,1,2,15,104902470660750
1,1,2,16,189829601864800
1,1,2,17,194849335268850
1,1,2,18,109289704372900
1,1,2,19,108107116276950
1,1,2,20,172709174181000
1,1,2,21,120655750385050
1,1,2,22,191285138689100
1,1,2,23,187076468293150
1,1,2,24,105696165097200
1,1,2,25,1747707145101250
1,1,2,26,1342071348105300
1,1,2,27,1898932187109350
1,1,2,28,1821799860113400
1,1,2,29,1186525920117450
1,1,2,30,1375210901121500
1,1,2,31,1877365923125550
1,1,2,32,1514476901129600
1,1,2,33,1224305455133650
1,1,2,34,1207694736137700
1,1,2,35,1255466466141750
1,1,2,36,1914457531145800
1,1,2,37,1790919759149850
1,1,2,38,1321287399153900
1,1,2,39,1731098787157950
1,1,2,40,1155842859162000
1,1,2,41,1086804820166050
1,1,2,42,1594583879170100
1,1,2,43,1421619747174150
1,1,2,44,1163774655178200
1,1,2,45,1591208113182250
1,1,2,46,1426397214186300
1,1,2,47,1062027622190350
1,1,2,48,1334508915194400
1,1,2,49,1709382855198450
1,1,2,50,1746163463202500
1,1,2,51,1781702546206550
1,1,2,52,1795797052210600
1,1,2,53,1739102548214650
1,1,2,54,1418864926218700
1,1,2,55,1733527881222750
1,1,2,56,1789524712226800
1,1,2,57,1698057025230850
1,1,2,58,1103322876234900
1,1,2,59,1835868862238950
1,1,3,0,19311025920
1,1,3,1,19225566036075
1,1,3,2,164871544112150
1,1,3,3,179268090618225
1,1,3,4,112924096224300
1,1,3,5,169428954430375
1,1,3,6,170853976736450
1,1,3,7,186743653642525
1,1,3,8,111928075348600
1,1,3,9,105216864054675
1,1,3,10,108572767360750
1,1,3,11,112171648466825
1,1,3,12,191886425472900
1,1,3,13,127202273778975
1,1,3,14,184438115385050
1,1,3,15,187484783591125
1,1,3,16,126814200297200
1,1,3,17,1720263610103275
1,1,3,18,1630903703109350
1,1,3,19,1946298943115425
1,1,3,20,1237685749121500
1,1,3,21,1351485350127575
1,1,3,22,1814030397133650
1,1,3,23,1179054333139725
1,1,3,24,1358302113145800
1,1,3,25,1313708321151875
1,1,3,26,1869203263157950
